epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.66,1.80777,2.15834,0.02411,0.65035,0.55433,0.62154,0.26648,1.98027,1.50602,0.0359,0.00066608,0.00066608,0.00066608
2,771.092,1.91533,1.45613,0.02614,0.68285,0.60219,0.66716,0.28122,1.97138,1.39213,0.03514,0.00120081,0.00120081,0.00120081
3,1102.21,1.83494,1.32507,0.02421,0.74373,0.66621,0.7383,0.36404,1.80383,1.20894,0.03074,0.00160353,0.00160353,0.00160353
4,1441.11,1.74207,1.17466,0.02225,0.82192,0.68991,0.79857,0.43539,1.65381,1.05417,0.02684,0.001406,0.001406,0.001406
5,1777.75,1.65719,1.02498,0.02058,0.84892,0.77807,0.85883,0.46539,1.62896,0.88293,0.02717,0.001208,0.001208,0.001208
6,2112.31,1.58163,0.8959,0.01932,0.87802,0.79206,0.88642,0.51083,1.54043,0.78871,0.02412,0.00101,0.00101,0.00101
7,2428.88,1.50629,0.80169,0.01777,0.8785,0.82876,0.90565,0.5303,1.49726,0.72647,0.02302,0.000812,0.000812,0.000812
8,2751.58,1.44012,0.70915,0.01674,0.88762,0.85463,0.92465,0.55503,1.44038,0.65964,0.02184,0.000614,0.000614,0.000614
9,3070.59,1.38979,0.64042,0.01577,0.91077,0.87208,0.94115,0.57697,1.41774,0.59099,0.02126,0.000416,0.000416,0.000416
10,3372.71,1.34132,0.59918,0.01494,0.92801,0.88653,0.94642,0.59763,1.36514,0.55892,0.0203,0.000218,0.000218,0.000218
